drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
Staurosporine_BILIARY	0.5847640949410158	0.15357142857142855	0.9096330365749133	0.6271297853940914	0.13669259067840464	0.7340320096126057
Staurosporine_BONE_AND_SOFT_TISSUE	0.1464329432946607	-0.33684210526315783	0.5125153015313124	0.308415997251768	-0.23985216893744518	0.616831994503536
Staurosporine_BREAST	0.4424929518417573	0.13838054698602456	0.7743626657230753	0.13449839945579387	0.2660609717092134	0.38193994426305083
Staurosporine_CENTRAL_NERVOUS_SYSTEM	0.016617231621448132	0.4021853340397197	0.11632062135013693	0.03732844663073624	0.35333780501689405	0.26129912641515374
Staurosporine_CERVICAL	0.9602404181286243	-0.01818181818181818	0.9602404181286243	0.7340320096126057	0.12344957309799949	0.7340320096126057
Staurosporine_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.14401495669665385	-0.1607783779426187	0.5125153015313124	0.40719618742630037	-0.09161597676161175	0.7125933279960257
Staurosporine_KIDNEY	0.37008312228206786	0.30000000000000004	0.7401662445641357	0.6664712292249027	0.14689403339122592	0.7340320096126057
Staurosporine_LARGE_INTESTINE	0.9482801500547112	0.01764705882352941	0.9602404181286243	0.1364071229510896	-0.38903176349649143	0.38193994426305083
Staurosporine_LUNG	0.00029979305346571034	0.347605749509797	0.004197102748519945	0.008653820734794482	0.2562290550562841	0.12115349028712274
Staurosporine_OESOPHAGUS	0.27388704841914874	0.2911764705882353	0.6874411916596338	0.09440865040127246	0.432367561772752	0.38193994426305083
Staurosporine_OVARY	0.29461765356841446	-0.27941176470588236	0.6874411916596338	0.21390180472282086	-0.32866552904391055	0.49910421101991537
Staurosporine_PANCREAS	0.8944269969053026	-0.045454545454545456	0.9602404181286243	0.5454941222983685	-0.204948681340243	0.7340320096126057
Staurosporine_SKIN	0.7384547277537109	0.07363479345131066	0.9602404181286243	0.6958570374592326	0.08616553111299469	0.7340320096126057
Staurosporine_URINARY_TRACT	0.8725444288811492	-0.049450549450549455	0.9602404181286243	0.700397695310024	0.11825995668761163	0.7340320096126057
