drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
Nutlin-3_BILIARY	0.512085328993753	0.21015794050150388	0.9628015225318068	0.9477975454586278	-0.021225170278646496	0.9582865539987965
Nutlin-3_BONE_AND_SOFT_TISSUE	0.17101314886910304	0.34803921568627455	0.9405723187800668	0.18825899414465036	0.3353230646664504	0.5801516383283812
Nutlin-3_BREAST	0.3642500371980917	-0.17820969066520673	0.9628015225318068	0.9582865539987965	-0.010356440412840458	0.9582865539987965
Nutlin-3_CENTRAL_NERVOUS_SYSTEM	0.8752741113925516	-0.028413839607980593	0.9628015225318068	0.21096423211941137	-0.22360901439968903	0.5801516383283812
Nutlin-3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.8026116263792924	-0.028207183911290783	0.9628015225318068	0.20102551966396429	-0.14356474338231345	0.5801516383283812
Nutlin-3_LARGE_INTESTINE	0.7317826946411556	-0.08421052631578947	0.9628015225318068	0.5801850694926256	0.1355047091210912	0.9582865539987965
Nutlin-3_LUNG	0.10815419341382639	0.17762968018363576	0.9405723187800668	0.18558401129854374	0.1467385988165611	0.5801516383283812
Nutlin-3_OESOPHAGUS	0.6479163294665075	-0.12857142857142856	0.9628015225318068	0.9548220045161255	-0.016016332657075024	0.9582865539987965
Nutlin-3_OVARY	0.970258390096969	0.01098901098901099	0.970258390096969	0.6541730139004942	0.13146027277095879	0.9582865539987965
Nutlin-3_SKIN	0.4778286757964305	0.16842105263157892	0.9628015225318068	0.8455811303271982	0.046521653752666106	0.9582865539987965
Nutlin-3_STOMACH	0.7892345325825416	-0.09726488698881033	0.9628015225318068	0.7297590620500304	0.12549660323637357	0.9582865539987965
